FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName
1189351;2014;Carbon dioxide (CO2);0.2;Elenia Lämpö Oy, Vanajan voimalaitos, Hämeenlinna;HÄMEENLINNA;Finland;60.97523;24.50481;Steam and air conditioning supply
1189360;2014;Carbon dioxide (CO2);0.103;KOSKISEN OY, KÄRKÖLÄN LAITOKSET;JÄRVELÄ;Finland;60.84536;25.29331;Manufacture of veneer sheets and wood-based panels
1189364;2014;Carbon dioxide (CO2);0.529;LAHTI ENERGIA OY, KYMIJÄRVEN VOIMALAITOS;LAHTI;Finland;60.99219;25.72054;Steam and air conditioning supply
1189376;2014;Carbon dioxide (CO2);0.338;Stora Enso Oyj, Heinolan Flutingtehdas;HEINOLA;Finland;61.17907;26.08137;Manufacture of paper and paperboard
1189392;2014;Carbon dioxide (CO2);0.105;Kaukaan Voima Oy;LAPPEENRANTA;Finland;61.06663;28.25098;Production of electricity
1189396;2014;Carbon dioxide (CO2);0.485;Kotkamills Oy, Kotkan tehtaat;KOTKA;Finland;60.46578;26.95693;Manufacture of paper and paperboard
1189397;2014;Carbon dioxide (CO2);0.172;Kotkan Energia Oy, Hovinsaaren voimalaitos;KOTKA;Finland;60.47105;26.91693;Steam and air conditioning supply
1189403;2014;Carbon dioxide (CO2);0.472;Kymin Voima Oy;KUUSANKOSKI;Finland;60.90684;26.66628;Production of electricity
1189408;2014;Carbon dioxide (CO2);0.198;Metsä Board Oyj, Simpele;SIMPELE;Finland;61.43514;29.34398;Manufacture of paper and paperboard
1189409;2014;Carbon dioxide (CO2);1.37;Metsä Fibre Oy, Joutsenon tehdas;PULP;Finland;61.13159;28.45681;Manufacture of pulp
1189421;2014;Carbon dioxide (CO2);0.283;Stora Enso Oyj, Anjalankosken tehtaat;INKEROINEN;Finland;60.70799;26.82108;Manufacture of paper and paperboard
1189423;2014;Carbon dioxide (CO2);2.21;Stora Enso Oyj, Imatran tehtaat;IMATRA;Finland;61.226;28.82041;Manufacture of paper and paperboard
1189424;2014;Carbon dioxide (CO2);0.903;Stora Enso Oyj, Sunilan tehdas;SUNILA;Finland;60.48876;26.95041;Manufacture of pulp
1189428;2014;Carbon dioxide (CO2);1.45;UPM-Kymmene Oyj, Kaukaan tehtaat;LAPPEENRANTA;Finland;61.06576;28.24754;Manufacture of paper and paperboard
1189429;2014;Carbon dioxide (CO2);1.56;UPM-Kymmene Oyj, Kymi;KUUSANKOSKI;Finland;60.91123;26.6642;Manufacture of paper and paperboard
1189431;2014;Carbon dioxide (CO2);0.328;KAINUUN VOIMA OY, Kajaanin Höyryvoimalaitos;KAJAANI;Finland;64.23346;27.68924;Steam and air conditioning supply
1189442;2014;Carbon dioxide (CO2);0.153;Jyväskylän Energiantuotanto Oy, Rauhalahden voimalaitos;JYVÄSKYLÄ;Finland;62.23886;25.81081;Steam and air conditioning supply
1189445;2014;Carbon dioxide (CO2);0.303;Jyväskylän Voima Oy, Keljonlahden voimalaitos;JYVÄSKYLÄ;Finland;62.19259;25.73695;Steam and air conditioning supply
1189450;2014;Carbon dioxide (CO2);1.09;Metsä Fibre Oy, Äänekosken sellutehdas;ÄÄNEKOSKI;Finland;62.59765;25.73963;Manufacture of pulp
1189460;2014;Carbon dioxide (CO2);0.267;UPM-KYMMENE OYj Jokilaakson tehtaat Kaipola;KAIPOLA;Finland;61.81047;25.23839;Manufacture of paper and paperboard
1189461;2014;Carbon dioxide (CO2);0.348;UPM-KYMMENE OYJ JÄMSÄNKOSKEN TEHDAS;JÄMSÄNKOSKI;Finland;61.91536;25.16002;Manufacture of paper and paperboard
1189467;2014;Carbon dioxide (CO2);0.242;Äänevoima Oy;ÄÄNEKOSKI;Finland;62.59384;25.71974;Steam and air conditioning supply
1189469;2014;Carbon dioxide (CO2);0.226;FQM Kevitsa Mining Oy, Kevitsan kaivos;PETKULA;Finland;67.69043;26.93765;Mining of other non-ferrous metal ores
1189472;2014;Carbon dioxide (CO2);1.49;Metsä Fibre Oy Kemin tehdas;KEMI;Finland;65.75592;24.52181;Manufacture of pulp
1189474;2014;Carbon dioxide (CO2);0.251;Napapiirin Energia ja Vesi Oy, Suosiolan voimalaitos;ROVANIEMI;Finland;60.65669;24.84265;Steam and air conditioning supply
1189477;2014;Carbon dioxide (CO2);0.698;Outokumpu Chrome Oy, Outokumpu Stainless Oy, Tornion tehtaat;TORNIO;Finland;65.7842;24.1758;Manufacture of basic iron and steel and of ferro-alloys
1189479;2014;Carbon dioxide (CO2);0.151;SMA MINERAL OY, Röyttän Kalkkitehdas;TORNIO;Finland;65.75962;24.15658;Manufacture of lime and plaster
1189481;2014;Carbon dioxide (CO2);0.786;Stora Enso Oyj, Veitsiluodon tehdas;KEMI;Finland;65.69356;24.62075;Manufacture of paper and paperboard
1189482;2014;Carbon dioxide (CO2);0.615;Stora Enso Oyj, Veitsiluodon voimalaitos;KEMI;Finland;65.6983;24.6238;Steam and air conditioning supply
1189483;2014;Carbon dioxide (CO2);0.397;Tornion Voima Oy, Röyttän teollisuusalueen voimalaitos ja kattilalaitos;TORNIO;Finland;65.76702;24.15926;Steam and air conditioning supply
1189497;2014;Carbon dioxide (CO2);0.154;Mäntän Energia Oy, Voimalaitos;MÄNTTÄ;Finland;62.0271;24.6341;Steam and air conditioning supply
1189509;2014;Carbon dioxide (CO2);0.181;TAMPEREEN SÄHKÖLAITOS OY, Lielahden voimalaitos;TAMPERE;Finland;61.51041;23.67468;Steam and air conditioning supply
1189510;2014;Carbon dioxide (CO2);0.577;TAMPEREEN SÄHKÖLAITOS OY, NAISTENLAHDEN VOIMALAITOS;TAMPERE;Finland;61.51;23.77675;Steam and air conditioning supply
1189512;2014;Carbon dioxide (CO2);0.101;UPM-KYMMENE OYJ, TERVASAARI;VALKEAKOSKI;Finland;61.26414;24.02246;Manufacture of pulp
1189519;2014;Carbon dioxide (CO2);0.413;Fortum Power and Heat Oy, JOENSUUN VOIMALAITOS;JOENSUU;Finland;62.59302;29.82048;Steam and air conditioning supply
1189531;2014;Carbon dioxide (CO2);1.59;STORA ENSO OYJ, ENOCELLIN TEHDAS;UIMAHARJU;Finland;62.9227;30.2216;Manufacture of pulp
1189540;2014;Carbon dioxide (CO2);0.366;KANTELEEN VOIMA OY, Haapaveden voimalaitos;HAAPAVESI;Finland;64.1215;25.4097;Steam and air conditioning supply
1189543;2014;Carbon dioxide (CO2);0.221;LAANILAN VOIMA OY, Laanilan teollisuusalueen voimalaitos;OULU;Finland;65.03522;25.51891;Production of electricity
1189548;2014;Carbon dioxide (CO2);0.179;NORDKALK Oyj Abp, Raahen kalkinpolttamo;RAAHE;Finland;64.65493;24.4132;Manufacture of lime and plaster
1189549;2014;Carbon dioxide (CO2);0.105;OULUN ENERGIA, Laanilan ekovoimalaitos;OULU;Finland;65.03572;25.51559;Steam and air conditioning supply
1189551;2014;Carbon dioxide (CO2);0.808;OULUN ENERGIA, Toppilan voimalaitokset, Oulu;OULU;Finland;65.03762;25.43516;Steam and air conditioning supply
1189558;2014;Carbon dioxide (CO2);3.77;SSAB Europe Oy (ent. RUUKKI METALS OY), Raahen terästehdas;RAAHE;Finland;64.65408;24.40966;Manufacture of basic iron and steel and of ferro-alloys
1189559;2014;Carbon dioxide (CO2);1.54;STORA ENSO OYJ, Oulun tehdas, Oulu;OULU;Finland;65.00584;25.43488;Manufacture of paper and paperboard
1189571;2014;Carbon dioxide (CO2);0.271;KUOPION ENERGIA OY HAAPANIEMEN VOIMALAITOS;KUOPIO;Finland;62.87884;27.67152;Steam and air conditioning supply
1189575;2014;Carbon dioxide (CO2);0.3;Savon Sellu Oy;KUOPIO;Finland;62.9462;27.72;Manufacture of pulp
1189577;2014;Carbon dioxide (CO2);0.712;Stora Enso Oyj, Varkauden tehtaat;VARKAUS;Finland;62.31738;27.9016;Manufacture of pulp
1189590;2014;Carbon dioxide (CO2);0.44;Borealis Polymers Oy, Olefiinituotanto;PORVOO;Finland;60.30049;25.52109;Manufacture of other organic basic chemicals
1189601;2014;Carbon dioxide (CO2);0.158;Fortum Power and Heat Oy, Järvenpään voimalaitos;FORTUM;Finland;60.45514;25.128;Steam and air conditioning supply
1189602;2014;Carbon dioxide (CO2);0.841;Fortum Power and Heat Oy, Suomenojan voimalaitos;ESPOO;Finland;60.14912;24.7174;Steam and air conditioning supply
1189606;2014;Carbon dioxide (CO2);1.06;Helen Oy, Hanasaari B -voimalaitos;HELSINKI;Finland;60.183;24.97265;Steam and air conditioning supply
1189612;2014;Carbon dioxide (CO2);0.61;Helen Oy, Salmisaaren voimalaitokset;HELEN;Finland;60.16739;24.90479;Steam and air conditioning supply
1189613;2014;Carbon dioxide (CO2);1.38;Helen Oy, Vuosaaren voimalaitokset;HELEN;Finland;60.21933;25.16837;Steam and air conditioning supply
1189624;2014;Carbon dioxide (CO2);0.149;Keravan Lämpövoima Oy, Keravan voimalaitos;KERAVA;Finland;60.36784;25.11585;Steam and air conditioning supply
1189631;2014;Carbon dioxide (CO2);2.77;Neste Oyj, Porvoon jalostamo;PORVOO;Finland;60.31127;25.52242;Manufacture of refined petroleum products
1189639;2014;Carbon dioxide (CO2);0.186;Porvoon Energia Oy, Tolkkisten voimalaitokset;TOLKKINEN;Finland;60.33178;25.58272;Production of electricity
1189646;2014;Carbon dioxide (CO2);0.245;Sappi Finland Operations Oy, Kirkniemen voimalaitos;LOHJA;Finland;60.1905;23.9455;Production of electricity
1189652;2014;Carbon dioxide (CO2);0.118;Vantaan Energia Oy, Jätevoimala;VANTAA;Finland;60.2606;25.13;Production of electricity
1189654;2014;Carbon dioxide (CO2);0.49;Vantaan Energia Oy, Martinlaakson voimalaitos;VANTAA;Finland;60.28212;24.83669;Steam and air conditioning supply
1189682;2014;Carbon dioxide (CO2);0.501;Finnsementti Oy, Parainen / Sementtitehdas;PARAINEN;Finland;60.28556;22.28753;Manufacture of cement
1189685;2014;Carbon dioxide (CO2);1.07;Fortum Power and Heat Oy, Meri-Porin voimalaitos;PORI;Finland;61.6322;21.4047;Production of electricity
1189727;2014;Carbon dioxide (CO2);1.54;Metsä Fibre Oy, Rauman tehdas;RAUMA;Finland;61.11079;21.46695;Manufacture of pulp
1189735;2014;Carbon dioxide (CO2);0.322;Neste Oyj, Naantalin Jalostamo;NAANTALI;Finland;60.45368;22.06781;Manufacture of refined petroleum products
1189752;2014;Carbon dioxide (CO2);0.168;Pori Energia Oy, Aittaluodon voimalaitos;PORI;Finland;61.48732;21.81577;Production of electricity
1189754;2014;Carbon dioxide (CO2);0.212;Porin Prosessivoima Oy;PORI;Finland;61.57754;21.55277;Production of electricity
1189757;2014;Carbon dioxide (CO2);0.302;PVO Lämpövoima Oy, Tahkoluodon voimalaitos;PORI;Finland;61.63243;21.40475;Production of electricity
1189761;2014;Carbon dioxide (CO2);0.435;Rauman Biovoima Oy;RAUMA;Finland;61.1175;21.4778;Production of electricity
