FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName;TotalQuantity;UnitName
262192;2004;Carbon monoxide (CO);0.00154;ESSO RAFFINADERIJ ANTWERPEN;;Belgium;51.257166;4.341584;Manufacture of refined petroleum products;1540000;kilogram
262279;2004;Carbon monoxide (CO);0.000521;Electrabel Centrale Langerlo;;Belgium;50.934049;5.478404;Production and distribution of electricity;521000;kilogram
262282;2004;Carbon monoxide (CO);0.00129;ELECTRABEL CENTRALE RODENHUIZE;;Belgium;51.126542;3.768805;Production and distribution of electricity;1290000;kilogram
262294;2004;Carbon monoxide (CO);0.000712;SYNDICAAT MACHIENSTEEN II;;Belgium;51.074127;4.397291;Manufacture of bricks, tiles and& construction products, in baked clay;712000;kilogram
262295;2004;Carbon monoxide (CO);0.00105;SYNDICAAT MACHIENSTEEN (Steendorp);;Belgium;51.12964;4.26466;Manufacture of bricks, tiles and& construction products, in baked clay;1050000;kilogram
262298;2004;Carbon monoxide (CO);0.00256;TOTAL RAFFINADERIJ ANTWERPEN;;Belgium;51.266235;4.321773;Manufacture of refined petroleum products;2560000;kilogram
262450;2004;Carbon monoxide (CO);0.091;COCKERILL SAMBRE SA  (COKE FONTE);;Belgium;50.6101;5.527;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;91000000;kilogram
262451;2004;Carbon monoxide (CO);0.0839;CARSID (COKE FONTE/ACIERIE -CC);;Belgium;50.4099;4.4229;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;83900000;kilogram
262455;2004;Carbon monoxide (CO);0.00106;DUFERCO LA LOUVIERE SA;;Belgium;50.4874;4.1884;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;1060000;kilogram
262456;2004;Carbon monoxide (CO);0.000572;THY MARCINELLE SA;;Belgium;50.4;4.433;Manufacture of basic iron and steel and of ferro-alloys (ECSC)*;572000;kilogram
262461;2004;Carbon monoxide (CO);0.000816;CBR SA - SITE DE LIXHE;;Belgium;50.766;5.666;Manufacture of cement;816000;kilogram
262462;2004;Carbon monoxide (CO);0.00318;CCB SA;;Belgium;50.6;3.483;Manufacture of cement;3180000;kilogram
262464;2004;Carbon monoxide (CO);0.00172;CBR SA - SITE D'ANTOING;;Belgium;50.583;3.45;Manufacture of cement;1720000;kilogram
262470;2004;Carbon monoxide (CO);0.0169;DOLOMIES DE MARCHE-LES-DAMES SA - SITE 1;;Belgium;50.466;4.983;Manufacture of lime;16900000;kilogram
262494;2004;Carbon monoxide (CO);0.000595;PIRET SA;;Belgium;50.417;4.484;Casting of iron;595000;kilogram
262502;2004;Carbon monoxide (CO);0.00257;BURGO ARDENNES SA;;Belgium;49.5482;5.5022;Manufacture of pulp;2570000;kilogram
